Dataset,FeatureSubset,IncludedGroups,ExcludedGroups,Source objective,ValidationAccuracy@20_40,NDCG@20,Recall@20,Hit@20,Pers@20,AvgPop@20,NDCG@40,Recall@40,Hit@40,Pers@40,AvgPop@40,ValidationCRRU@20,ValidationCRRU@40,ValidationCRRU@20_40,PosthocCRRU@20,PosthocCRRU@40,Time/epoch (s),Peak VRAM (MB),Batch,CompletedTrials,Status
kuairand1k,triple_item_author_music__item_video_metadata__item_resolution,"item_author_music,item_video_metadata,item_resolution","item_upload_time,item_category",0.042737742132776924,0.003888456558343023,0.0017706428188830614,0.006066536530852318,0.010958904400467873,0.9905953407287598,0.188320592045784,0.0028215094935148954,0.010632745921611786,0.019178081303834915,0.982418417930603,0.1875687688589096,0.03724669284164808,0.049350534579584104,0.04329861371061609,0.03724669284164808,0.049350534579584104,0.11425073111427732,4512.0,1048576.0,1,completed
kuairand1k,triple_item_author_music__item_video_metadata__item_upload_time,"item_author_music,item_video_metadata,item_upload_time","item_resolution,item_category",0.049529011882577474,0.00546990450238809,0.002604897366836667,0.008675798773765564,0.010958904400467873,0.9853439927101135,0.3064667284488678,0.003886540187522769,0.0141552509739995,0.021917808800935745,0.9696063995361328,0.3119482100009918,0.043930563519736204,0.05692412241153009,0.05042734296563314,0.043930563519736204,0.05692412241153009,0.11685740126085875,4518.0,1048576.0,1,completed
kuairand1k,triple_item_upload_time__item_resolution__item_category,"item_upload_time,item_resolution,item_category","item_author_music,item_video_metadata",0.054025643518222664,0.005906088300980628,0.0038007714319974184,0.00639269407838583,0.010958904400467873,0.9748668670654297,0.322835236787796,0.0057001179084181786,0.01552511379122734,0.021917808800935745,0.9536256790161133,0.3227560520172119,0.045848153954191756,0.06420882315347246,0.055028488553832106,0.045848153954191756,0.06420882315347246,0.11606737946000066,4468.0,1048576.0,1,completed
kuairand1k,triple_item_video_metadata__item_resolution__item_category,"item_video_metadata,item_resolution,item_category","item_author_music,item_upload_time",0.051370286457509254,0.0063827538746409115,0.003469902090728283,0.011415526270866394,0.013698630034923553,0.9815573692321777,0.30838024616241455,0.003740296931937337,0.012328767217695713,0.016438355669379234,0.9669622182846069,0.30511680245399475,0.05101766208414302,0.053576706409616925,0.05229718424687997,0.05101766208414302,0.053576706409616925,0.11701705143474575,4468.0,1048576.0,2,completed
kuairand1k,triple_item_video_metadata__item_resolution__item_category,"item_video_metadata,item_resolution,item_category","item_author_music,item_upload_time",0.047329777246788836,0.00474294857122004,0.003562296275049448,0.005936072673648596,0.008219177834689617,0.9888197779655457,0.2594156861305237,0.004285454284399748,0.008349641226232052,0.019178081303834915,0.9793200492858887,0.25635743141174316,0.04365137977240549,0.052547435918609685,0.04809940784550759,0.04365137977240549,0.052547435918609685,0.11786634778257829,4317.0,1048576.0,2,completed
kuairand1k,triple_item_video_metadata__item_upload_time__item_category,"item_video_metadata,item_upload_time,item_category","item_author_music,item_resolution",0.05937618024863346,0.0077667784644290805,0.005022922996431589,0.011415526270866394,0.013698630034923553,0.9773935675621033,0.31946009397506714,0.005876931827515364,0.015198956243693829,0.021917808800935745,0.9599940776824951,0.31756114959716797,0.05639319629462827,0.0645472157592821,0.06047020602695519,0.05639319629462827,0.0645472157592821,0.11541406963043181,4633.0,1048576.0,2,completed
kuairand1k,triple_item_video_metadata__item_upload_time__item_category,"item_video_metadata,item_upload_time,item_category","item_author_music,item_resolution",0.058729632982136015,0.007704712124541402,0.004966267384588718,0.011415526270866394,0.013698630034923553,0.9786730408668518,0.31672409176826477,0.005738983862102032,0.015068492852151394,0.019178081303834915,0.9619938731193542,0.3152252733707428,0.056252024423245,0.06336202241324075,0.05980702341824287,0.056252024423245,0.06336202241324075,0.11607058534786041,4468.0,1048576.0,2,completed
kuairand1k,triple_item_video_metadata__item_upload_time__item_resolution,"item_video_metadata,item_upload_time,item_resolution","item_author_music,item_category",0.04001625353959127,0.0036559576052241026,0.0014880415983498096,0.005479452200233936,0.005479452200233936,0.9887672066688538,0.2861025929450989,0.0028223481494933367,0.011187215335667133,0.016438355669379234,0.977534294128418,0.28738337755203247,0.0326248046794035,0.04879701365285503,0.04071090916612927,0.0326248046794035,0.04879701365285503,0.11636164239130069,4468.0,1048576.0,1,completed
kuairec_v2,all_gate0,"item_author_music,item_video_metadata,item_resolution,item_category,item_upload_time",,0.1596685779976848,0.04657142255455256,0.06029490381479263,0.01712215319275856,0.5857023596763611,0.9152171015739441,0.3788916766643524,0.06041828542947769,0.030806895345449448,0.754319965839386,0.8972253799438477,0.3702671229839325,0.15563374338956737,0.17764125849140686,0.16663750094048713,0.15563374338956737,0.17764125849140686,3.508983357921874,9959.0,524288.0,1,completed
kuairec_v2,all_gate_neg4,"item_author_music,item_video_metadata,item_resolution,item_category,item_upload_time",,0.13735255537298863,0.03397318730130792,0.04365957900881767,0.01148674450814724,0.46279263496398926,0.972419023513794,0.35862189531326294,0.045877888798713684,0.023900283500552177,0.6502229571342468,0.9608351588249207,0.34770259261131287,0.1301386909973478,0.15603322347024112,0.14308595723379447,0.1301386909973478,0.15603322347024112,3.73732273185714,9954.0,524288.0,1,completed
kuairec_v2,drop_item_author_music,"item_video_metadata,item_resolution,item_category,item_upload_time",item_author_music,0.1706150890273656,0.0533282850869,0.06859376281499863,0.0204868633300066,0.589046835899353,0.9229848980903625,0.4795602858066559,0.06866578012704849,0.03609820827841759,0.7547380328178406,0.9023945927619934,0.45099276304244995,0.16790142541550923,0.19073594073182354,0.17931868307366639,0.16790142541550923,0.19073594073182354,2.690283996478249,10344.0,524288.0,2,completed
kuairec_v2,drop_item_author_music,"item_video_metadata,item_resolution,item_category,item_upload_time",item_author_music,0.14192240866908382,0.035729985171929,0.04551045224070549,0.012584247626364231,0.4832775890827179,0.9679241180419922,0.3545890152454376,0.04821215942502022,0.025968732312321663,0.6750278472900391,0.9557142853736877,0.3444269597530365,0.1344223471376656,0.16117889108078087,0.14780061910922324,0.1344223471376656,0.16117889108078087,3.6688846578599987,10104.0,524288.0,2,completed
kuairec_v2,drop_item_category,"item_author_music,item_video_metadata,item_resolution,item_upload_time",item_category,0.12709824383391197,0.029371084412559867,0.03654022514820099,0.012355032376945019,0.4045429229736328,0.9557161927223206,0.5325954556465149,0.038517847657203674,0.022345365956425667,0.5642419457435608,0.9352762699127197,0.5047025084495544,0.12379542398773559,0.14438211376035334,0.13408876887404447,0.12379542398773559,0.14438211376035334,3.587098164407406,10104.0,524288.0,1,completed
kuairec_v2,drop_item_resolution,"item_author_music,item_video_metadata,item_category,item_upload_time",item_resolution,0.13642368835260013,0.03353615584783256,0.04300778731703758,0.011249723844230175,0.4385451376438141,0.9770717024803162,0.36406877636909485,0.045642655342817307,0.023734329268336296,0.6284838318824768,0.9663193821907043,0.35153061151504517,0.1288036382486049,0.15554313509849332,0.14217338667354912,0.1288036382486049,0.15554313509849332,3.4432821000645117,10104.0,524288.0,1,completed
kuairec_v2,drop_item_upload_time,"item_author_music,item_video_metadata,item_resolution,item_category",item_upload_time,0.14178089538664285,0.036271566757932305,0.04666938632726669,0.012247820384800434,0.4607023298740387,0.9775675535202026,0.3579196631908417,0.04890862852334976,0.02538624219596386,0.6443701386451721,0.9666325449943542,0.34659624099731445,0.13445257668349986,0.1609224250362923,0.14768750085989607,0.13445257668349986,0.1609224250362923,3.4501050715161323,10232.0,524288.0,1,completed
kuairec_v2,drop_item_video_metadata,"item_author_music,item_resolution,item_category,item_upload_time",item_video_metadata,0.14681265060852342,0.03887980617582798,0.05042143538594246,0.013244912028312683,0.5061315298080444,0.9732507467269897,0.34463948011398315,0.051457371562719345,0.02639254741370678,0.681438148021698,0.9621230959892273,0.3365654945373535,0.14045921663143837,0.1650953372381689,0.15277727693480364,0.14045921663143837,0.1650953372381689,3.4745790164833275,10104.0,524288.0,1,completed
kuairec_v2,none,,"item_author_music,item_video_metadata,item_resolution,item_category,item_upload_time",0.15573404094283294,0.044311305787414317,0.055689193308353424,0.01941455341875553,0.5139353275299072,0.9669478535652161,0.5395186543464661,0.05576856806874275,0.03247785568237305,0.6560758352279663,0.9488087296485901,0.5123596787452698,0.15472060634302984,0.17404887402605398,0.1643847401845419,0.15472060634302984,0.17404887402605398,3.803121680913043,9542.0,524288.0,1,completed
